id,year,downloads,title,author,lang,subject
34095,1926,385,Ιστορία των Εθνικών Δανείων Μέρος Α' - Τα δάνεια της ανεξαρτησίας (1824-1825) - Το Δημόσιον Χρέος επί της Βαυαρικής Δυνα,"Andreadis, Andreas",el,hist
34735,1926,385,"Il tamburo di fuoco: Dramma africano di calore, colore, rumori, odori","Marinetti, F. T.",it,lit
34790,1924,385,Perverted Proverbs: A Manual of Immorals for the Many,"Graham, Harry",en,lit
35405,1879,385,Ricordi di un garibaldino dal 1847-48 al 1900. vol. I,"Elia, Augusto",it,hist
35574,1913,385,Seeing France with Uncle John,"Warner, Anne",en,lit
3609,1918,385,To-morrow?,"Cross, Victoria",en,lit
3643,1911,385,Widger's Quotations from the Project Gutenberg Editions of Paine's Writings on Mark Twain,"Paine, Albert Bigelow",en,lit
36526,1843,385,Legendy i pieśni ludu polskiego nowo odkryte,"Maciejowski, Wacław Aleksander",pl,lit
36645,1896,385,Louisiana Beef Cattle,"Stubbs, William Carter",en,sci
37168,1860,385,Norston's Rest,"Stephens, Ann S. (Ann Sophia)",en,lit
37335,1926,385,Brenda's Bargain: A Story for Girls,"Reed, Helen Leah",en,lit
37748,1918,385,How to Collect a Doctor Bill,"Davis, Franklyn Pierre",en,social
37824,1926,385,The Wireless Officer,"Westerman, Percy F. (Percy Francis)",en,lit
38268,1928,385,Aspects of Modern Opera: Estimates and Inquiries,"Gilman, Lawrence",en,arts
3857,1702,385,Memoirs of the Court of Louis XIV. and of the Regency - Volume 03,"Orléans, Charlotte-Elisabeth, duchesse d'",en,hist
39649,1864,385,Népdalok és mondák (3. kötet); Magyar népköltési gyüjtemény,"Erdélyi, János",hu,lit
39797,1921,385,A Prelude,"Sherman, Francis",en,lit
39905,1916,385,Upsidonia,"Marshall, Archibald",en,lit
39933,1919,385,The Amazing Inheritance,"Sterrett, Frances R. (Frances Roberta)",en,lit
40180,1819,385,A Woman's Love,"Opie, Amelia",en,lit
40201,1917,385,Things seen in Spain,"Hartley, C. Gasquoine (Catherine Gasquoine)",en,hist
40530,1888,385,Essai d'Introduction à l'Histoire Généalogique,"Poli, Oscar de (Philippe François Joseph)",fr,hist
41425,1922,385,Under the Star-Spangled Banner: A Tale of the Spanish-American War,"Brereton, F. S. (Frederick Sadleir)",en,lit
41795,1913,385,Tales of Northumbria,"Pease, Howard",en,hist
42135,1965,385,The Unwilling Professor,"Porges, Arthur",en,lit
42323,1903,385,La guerra injusta; cartas de un español,"Palacio Valdés, Armando",es,hist
43147,1904,385,A World of Girls: The Story of a School,"Meade, L. T.",en,lit
43260,1911,385,Maternità: Dramma in quattro atti,"Bracco, Roberto",it,lit
44811,1879,385,"Het Leven der Dieren. Derde Deel, Hoofdstuk 1 tot 4, De Kruipende Dieren","Brehm, Alfred Edmund",nl,sci
45141,1906,385,Pirates' Hope,"Lynde, Francis",en,lit
45552,1876,385,The Old Market-Cart,"Griswold, F. Burge (Frances Burge)",en,lit
4562,1982,385,Anatomie Du Mouvement: Poésie,"Bertrand, Huguette",fr,lit
45903,1816,385,"Storia d'Italia dal 1789 al 1814, tomo III","Botta, Carlo",it,hist
46169,1927,385,Fishing with Floating Flies,"Camp, Samuel G. (Samuel Granger)",en,sci
46593,1917,385,Gedankengut aus meinen Wanderjahren. Erster Band,"Dauthendey, Max",de,lit
47451,1912,385,"The Putnam Hall Rebellion; or, The Rival Runaways","Stratemeyer, Edward",en,lit
47771,1880,385,"Mirk Abbey, Volume 1 (of 3)","Payn, James",en,lit
48169,1951,385,The post of honour : $b stories of daring deeds done by men of the British Empire in the Great War,"Wilson, Richard",en,hist
48654,1923,385,Incesto: novela original,"Zamacois, Eduardo",es,lit
49463,1859,385,Racconti per giovinetti,"Thouar, Pietro",it,lit
4955,1892,385,Leah Mordecai: A Novel,"Abbott, Belle K. (Belle Kendrick)",en,lit
49599,1842,385,Scritti editi e postumi,"Bini, Carlo",it,lit
49709,1935,385,Tales from a Famished Land Including The White Island - A Story of the Dardanelles,"Hunt, Edward E. (Edward Eyre)",en,hist
50149,1919,385,Mitt lif och lefverne,"Engström, Albert",sv,lit
5028,1879,385,State of the Union Addresses,"Arthur, Chester Alan",en,social
50716,1939,385,The German Terror in Belgium: An Historical Record,"Toynbee, Arnold",en,hist
51844,1964,385,Someone to watch over me,"Gold, H. L. (Horace Leonard)",en,lit
52281,1865,385,La casa e la famiglia di Masaniello Ricordi della storia e della vita Napolitana nel Secolo XVII,"Capasso, Bartolommeo",it,hist
52338,1887,385,"Canoeing in Kanuckia Or, Haps and Mishaps Afloat and Ashore of the Statesman, the Editor, the Artist, and the Scribbler","Norton, Charles Ledyard",en,hist
52467,1918,385,Tunnustus: Novelli,"Gorky, Maksim",fi,lit
52491,1929,385,The Theatrical Primer,"Vivian, Harold Acton",en,lit
5262,1923,385,Curly and Floppy Twistytail (The Funny Piggie Boys),"Garis, Howard Roger",en,lit
52899,1879,385,The Wonderful Stories of Fuz-Buz the Fly and Mother Grabem the Spider,"Mitchell, S. Weir (Silas Weir)",en,lit
54246,1870,385,The Clergy and the Pulpit in Their Relations to the People.,"Mullois, Isidore",en,phil
5440,1887,385,Uarda : a Romance of Ancient Egypt - Volume 02,"Ebers, Georg",en,lit
54861,1893,385,Torquemada en la cruz,"Pérez Galdós, Benito",es,lit
55821,1912,385,From the Angle of Seventeen,"Phillpotts, Eden",en,lit
56831,1911,385,The King of the Park,"Saunders, Marshall",en,lit
56838,1912,385,The Saintsbury Affair,"Long, Lily A. (Lily Augusta)",en,lit
